ID	Title
ASG004ZK	Indicating a number in excess
ASG04ZCI	"Expressing existence with ""you"""
ASG06EA8	"Expressing ""all at once"" with ""yixiazi"""
ASG0A67E	"""In order to avoid"" with ""yimian"""
ASG0C825	"Expressing ""have to"" with ""budebu"""
ASG0D90L	"Expressing the unexpected with ""jingran"""
ASG0EQQJ	"Expressing not knowing how to do something using ""hao"""
ASG0K25S	"Comparing ""fan'er"" and “que"""
ASG0NDS6	"Expressing ""no matter"" with ""buguan"""
ASG0UFR4	"The ""shi... de"" construction for indicating purpose"
ASG10CAE	"Expressing ""less than"" with ""budao"""
ASG11DA8	"Expressing ""through"" with ""jingguo"""
ASG13ALM	"Expressing ""every"" with question words"
ASG16EF6	"Expressing ""once"" with ""cengjing"""
ASG17BLH	"Simple ""noun + adjective"" sentences"
ASG18JOA	"Expressing purpose with ""hao"""
ASG19S1M	"Using ""de"" (modal particle)"
ASG1CCAP	"Expressing ""until"" with ""dao"""
ASG1CEA8	"Expressing ""to come from"" with ""laizi"""
ASG1DXUD	"Passive verbs with ""shou"""
ASG1F4D1	"Expressing ""in this way"" with ""zheyang"""
ASG1HNBU	"Comparing ""guanyu"" and ""duiyu"""
ASG1MD4N	"Comparing specifically with ""xiang"""
ASG1NAXO	"Approximations with ""chabuduo"""
ASG1PTJX	"Result complement ""-xiaqu"""
ASG1QB4K	"Expressing simultaneous actions with ""yimian"""
ASG1RE80	"Expressing contrariness with ""dao"""
ASG22117	"The use of Taiwanese Mandarin ""hui"""
ASG23903	"Expressing ""as early as"" using ""zaozai……"""
ASG25773	"Expressing ""what if"" with ""wanyi"""
ASG25C48	"Polite requests with ""qing"""
ASG2KQZI	"Expressing ""in addition"" with ""lingwai"""
ASG2UB2B	"Using ""ba"" sentences"
ASG2ZC5S	"Simultaneous tasks with ""yibian"""
ASG30A60	"Expressing ""either... or..."" with ""yaome"""
ASG3544U	"Superlative ""zui"""
ASG35CD7	"Expressing ""had better"" with ""zuihao"""
ASG35T4H	"Expressing ""difficult"" with ""nan"""
ASG38F8A	"Expressing ""all"" with ""fanshi"""
ASG3AD49	"Expressing ""why"" with ""hebi"""
ASG3GX2H	"Indicating contrast with ""ze"""
ASG3IR71	"Expressing ""can't do without"" with ""shaobuliao"""
ASG3JELV	"Comparing ""dui"" and ""duiyu"""
ASG3ORNN	"Verbs preceded by ""gei"""
ASG3ROPY	"Expressing ""it seems"" with ""haoxiang"""
ASG3WTCJ	"Expressing lateness with ""cai"""
ASG3ZS9G	"Expressing ""let alone"" with ""hekuang"""
ASG44TBS	"Expressing ""thanks to"" with ""duokui"""
ASG47D26	"Expressing ""again and again"" with ""yizai"""
ASG4807F	"Advanced uses of ""hai"""
ASG49889	"Expressing ""about"" with ""guanyu"""
ASG49BE6	"Expressing ""enough"" with ""gou"""
ASG4D8XB	"Tag questions with ""bu"""
ASG4FB55	"Expressing ""and then"" with ""yushi"""
ASG4GVRX	Separable verb
ASG4K5WH	"Advanced ""le"" after an object"
ASG4NDHB	"Using ""youde"" to mean ""some"""
ASG4NIPB	"Expressing ""even more"" with ""geng"""
ASG4OM4T	"Advanced result complements ""zhu"", ""kai"", and ""chulai"""
ASG4V36Q	"Expressing ""after all"" with ""bijing"""
ASG50341	"Expressing ""including"" with ""zainei"""
ASG50DR1	"Adding emphasis with ""fei....buke"""
ASG516F9	Advanced potential complements
ASG5334C	"Expressing ""while you're at it"" with ""shunbian"""
ASG54932	"Comparing ""kanqilai"" and ""kanlai"""
ASG56QKW	"Comparing ""benlai"" and ""yuanlai"""
ASG59C66	"Comparing ""li"" and ""cong"""
ASG5A494	"Expressing ""within"" a period of time using ""zai... nei"""
ASG5AODR	Measure words for verbs
ASG5BOGP	"Expressing ""not often"" with ""bu zenme"""
ASG5C89R	"Combining verbs with ""bing"""
ASG5DG95	"Expressing_comparable_degree_with_""you"""
ASG5HZG6	"""Could it be that"" with ""qibushi"""
ASG5KNWW	Topic-comment sentences
ASG5MOMM	"Structural particle ""de"""
ASG5RWKO	Time words and word order
ASG5T7XC	Causative verbs
ASG610D0	"Expressing ""thus"" with ""cong'er"""
ASG6120A	Reduplication of measure words
ASG626D3	"Expressing ""feel free"" with ""jinguan"""
ASG64BTE	Measure words for counting
ASG64E96	"Expressing ""even more"" with ""geng"" or ""hai"""
ASG6509E	"Explaining purpose with ""wei... er..."""
ASG68DA5	"Using ""jiang"" as a formal ""ba"""
ASG68F61	"Expressing ""when"" with ""dengdao"""
ASG68RBX	"Expressing ""for"" with ""wei"""
ASG69RR8	"Expressing ongoing duration with double ""le"""
ASG6B21A	"Expressing ""as a result"" with ""jieguo"""
ASG6ESWW	"Expressing ""almost"" using ""chadian"""
ASG6F157	"Expressing ""originally"" with ""benlai"""
ASG6HYOU	"Expressing ""or"" in statements"
ASG6KUS5	"Expressing ""much more"" in comparisons"
ASG6SPYK	"Expressing permission with ""keyi"""
ASG6TB4J	"Expressing ""that's all"" with ""eryi"""
ASG6ZI8L	"Expressing ""no matter"" with ""wulun"""
ASG700A5	"Expressing ""finally"" with ""zhongyu"""
ASG72HKP	"Expressing ""rather"" with ""bijiao"""
ASG73H8K	"Comparing ""budebu"" and ""zhihao"""
ASG75EE1	"Expressing ""when"" using ""dang"""
ASG765HD	"Expressing ""it depends"" with ""kan"""
ASG767A2	"Declaring the only option with ""zhihao"""
ASG78FDE	"Expressing a last chance with ""zaibu... jiu..."""
ASG79STE	Degree complement
ASG7AE5C	Defining upper and lower limits
ASG7AUNJ	"Using ""zhe"" when ""verbing away"""
ASG7D4EC	"Expressing ""multiples"" with ""bei"""
ASG7ED89	"Expressing ""some"" with question words"
ASG7R8US	"Expressing ""never again"" with ""zai ye bu"""
ASG7UE4H	"Expressing ""more and more"" with ""yuelaiyue"""
ASG81QV3	"Expressing difficulty with ""hao (bu) rongyi"""
ASG846EA	"Expressing actions in progress with ""zai"""
ASG84D65	"Comparing ""bici"" and ""duifang"""
ASG84RE9	"Expressing fractions with ""fenzhi"""
ASG863DE	"Comparing ""gei"" and ""wei"""
ASG87B11	"Using ""budan... geng"" to express ""not only... but also"""
ASG87D22	"Expressing ""especially"" with ""gewai"""
ASG890CA	"Advanced ""le"" with complements"
ASG8DVSO	"Basic comparisons with ""bu bi"""
ASG8F7D4	"Expressing ""if it were not for"" with ""yaobushi"""
ASG8GSXY	"Using ""ye"" and ""dou"" together"
ASG8HVFN	"Expressing ""excessively"" with ""tai"""
ASG8ICO9	"Using ""dui"" with verbs"
ASG8KUHG	"Expressing ""always"" with ""conglai"""
ASG8LWBJ	Direction complement
ASG8NM5E	"Expressing ""never"" with ""conglai"""
ASG8OLAE	"Expressing ""simply"" with ""jianzhi"""
ASG8QS6H	"Advanced_uses_of_""zong"""
ASG8R2V8	"Potential complement ""-bu dong"" for not understanding"
ASG8RW47	"Limiting scope with ""jiu"""
ASG8SI2K	"Basic comparisons with ""bi"""
ASG8VJM8	"The filler word ""neige"""
ASG8YTSF	"The ""shi... de"" patterns: an overview"
ASG90DXK	"Special cases of ""zai"" following verbs"
ASG920B7	"Expressing ""compared with"" using ""gen"""
ASG95AL1	"Auxiliary verb ""yao"" and its multiple meanings"
ASG98C1A	"Expressing ""as long as"" with ""zhiyao"""
ASG98FZK	"Using ""lai"" as a dummy verb"
ASG9B0M8	"Doing something less with ""shao"""
ASG9B1E3	"Expressing ""through"" with ""tongguo"""
ASG9B210	"Expressing ""about to"" with ""jiuyao"""
ASG9D48A	"Expressing ""in the name of"" with ""yi... de mingyi"""
ASG9E5BB	Advanced degree complements
ASG9E9A6	"Expressing ""only after"" with ""cai"""
ASG9JK0B	"Comparing ""genben"" and ""daodi"""
ASG9K0F8	"Appearance with ""kanqilai"""
ASG9LLJU	"Asking about degree with ""duo"""
ASG9PQ40	"Expressing ability or possibility with ""neng"""
ASG9W0UX	"Negative commands with ""bie"""
ASG9YK09	"The ""all"" adverb ""dou"""
ASGA0098	"Indicating negative impact with ""haide"""
ASGA0S4T	"A softer ""but"" with ""buguo"""
ASGA1B87	"Emphasizing with ""henshi"""
ASGA632B	"Expressing ""lies in"" with ""zaiyu"""
ASGA77KW	"Expressing ""similar to"" with ""gen... shide"""
ASGA8NIB	"Offering choices with ""haishi"""
ASGAA381	"Expressing ""even so"" with ""zaibu... ye..."""
ASGAC1P9	"Expressing ""half"" with ""ban"""
ASGAC619	Alternative existential sentences
ASGACMNQ	"Expressing ""since the beginning"" with ""yixiang"""
ASGAD070	"Expressing ""toward"" with ""wang"""
ASGAGDCQ	"Expressing completion with ""le"""
ASGAQV6C	"Expressing ""everything"" with ""shenme dou"""
ASGATDLX	"Expressing ""in addition"" with ""zaishuo"""
ASGAUCXK	"Negation of past actions with ""meiyou"""
ASGAY164	"Moderating positive adjectives with ""hai"""
ASGB0MXK	"Marking a topic with ""de hua"""
ASGB316B	"Expressing ""as if"" with ""sihu"""
ASGB33AE	"Marking a topic with ""ma"""
ASGB449A	"Expressing ""equal to"" with ""dengyu"""
ASGB44F6	"Expressing ""the more... the more..."" with ""yue… yue…"""
ASGB6L4M	"Expressing ""every"" with ""mei"""
ASGB781C	"Expressing ""moreover"" with ""bingqie"""
